"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","430","shouldReturn200_whenGetDepartmentsWithValidToken","Smoke Suite","Fri Nov 21 15:37:52 UTC 2025","passed","Fri Nov 21 15:37:52 UTC 2025","tests.smoke.DepartmentSmokeTest","Smoke Tests","tests.smoke.DepartmentSmokeTest","shouldReturn200_whenGetDepartmentsWithValidToken"
"","548","shouldReturn200_whenGetEmployeesAnniversariesWithValidRange","Smoke Suite","Fri Nov 21 15:37:50 UTC 2025","passed","Fri Nov 21 15:37:50 UTC 2025","tests.smoke.EmployeeSmokeTest","Smoke Tests","tests.smoke.EmployeeSmokeTest","shouldReturn200_whenGetEmployeesAnniversariesWithValidRange"
"","730","shouldReturn200_whenGetEmployeesWithValidToken","Smoke Suite","Fri Nov 21 15:37:50 UTC 2025","passed","Fri Nov 21 15:37:51 UTC 2025","tests.smoke.EmployeeSmokeTest","Smoke Tests","tests.smoke.EmployeeSmokeTest","shouldReturn200_whenGetEmployeesWithValidToken"
"","644","shouldReturn200_whenGetEptForCurrentUser","Smoke Suite","Fri Nov 21 15:37:49 UTC 2025","passed","Fri Nov 21 15:37:50 UTC 2025","tests.smoke.EptSmokeTest","Smoke Tests","tests.smoke.EptSmokeTest","shouldReturn200_whenGetEptForCurrentUser"
"","406","shouldReturn200_whenGetStacksWithValidToken","Smoke Suite","Fri Nov 21 15:37:50 UTC 2025","passed","Fri Nov 21 15:37:50 UTC 2025","tests.smoke.StackSmokeTest","Smoke Tests","tests.smoke.StackSmokeTest","shouldReturn200_whenGetStacksWithValidToken"
"","301","shouldReturn403_whenGetEmployeesWithInvalidToken","Smoke Suite","Fri Nov 21 15:37:52 UTC 2025","passed","Fri Nov 21 15:37:52 UTC 2025","tests.smoke.EmployeeSmokeTest","Smoke Tests","tests.smoke.EmployeeSmokeTest","shouldReturn403_whenGetEmployeesWithInvalidToken"
"","302","shouldReturn401_whenGetEmployeesWithoutToken","Smoke Suite","Fri Nov 21 15:37:51 UTC 2025","passed","Fri Nov 21 15:37:52 UTC 2025","tests.smoke.EmployeeSmokeTest","Smoke Tests","tests.smoke.EmployeeSmokeTest","shouldReturn401_whenGetEmployeesWithoutToken"
"","1794","shouldReturn200_whenGetPositionsWithValidToken","Smoke Suite","Fri Nov 21 15:37:47 UTC 2025","passed","Fri Nov 21 15:37:49 UTC 2025","tests.smoke.PositionSmokeTest","Smoke Tests","tests.smoke.PositionSmokeTest","shouldReturn200_whenGetPositionsWithValidToken"
