"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4899","shouldDeleteTimeLog_pmRoleSubordinateRecord","RBAC Suite","2025-12-18","passed","2025-12-18","tests.authz.timeLog.TimeLogsDeleteAuthTest","RBAC Tests","tests.authz.timeLog.TimeLogsDeleteAuthTest","shouldDeleteTimeLog_pmRoleSubordinateRecord"
"","1357","shouldReturn400_employeeRoleForeignRecord","RBAC Suite","2025-12-18","passed","2025-12-18","tests.authz.timeLog.TimeLogsDeleteAuthTest","RBAC Tests","tests.authz.timeLog.TimeLogsDeleteAuthTest","shouldReturn400_employeeRoleForeignRecord"
"","4556","shouldDeleteTimeLog_hrRoleAnyUser","RBAC Suite","2025-12-18","passed","2025-12-18","tests.authz.timeLog.TimeLogsDeleteAuthTest","RBAC Tests","tests.authz.timeLog.TimeLogsDeleteAuthTest","shouldDeleteTimeLog_hrRoleAnyUser"
"","1475","shouldReturn400_pmRoleNonSubordinateRecord","RBAC Suite","2025-12-18","passed","2025-12-18","tests.authz.timeLog.TimeLogsDeleteAuthTest","RBAC Tests","tests.authz.timeLog.TimeLogsDeleteAuthTest","shouldReturn400_pmRoleNonSubordinateRecord"
"","5182","shouldDeleteTimeLog_adminRoleAnyUser","RBAC Suite","2025-12-18","passed","2025-12-18","tests.authz.timeLog.TimeLogsDeleteAuthTest","RBAC Tests","tests.authz.timeLog.TimeLogsDeleteAuthTest","shouldDeleteTimeLog_adminRoleAnyUser"
"","4563","shouldDeleteTimeLog_employeeRoleOwnRecord","RBAC Suite","2025-12-18","passed","2025-12-18","tests.authz.timeLog.TimeLogsDeleteAuthTest","RBAC Tests","tests.authz.timeLog.TimeLogsDeleteAuthTest","shouldDeleteTimeLog_employeeRoleOwnRecord"
